X,Y,Annotation
50,144,buceta
58,141,buceta
72,134,buceta
82,128,buceta
90,124,buceta
102,118,buceta
112,113,buceta
122,108,buceta
125,107,buceta
131,104,buceta
136,102,buceta
138,100,buceta
141,99,buceta
145,98,buceta
146,100,buceta
149,101,buceta
150,99,buceta
152,96,buceta
154,92,buceta
155,90,buceta
159,90,buceta
163,89,buceta
168,88,buceta
175,87,buceta
183,86,buceta
187,85,buceta
197,84,buceta
203,83,buceta
215,82,buceta
225,81,buceta
241,80,buceta
256,79,buceta
279,79,buceta
282,78,buceta
293,78,buceta
296,77,buceta
300,74,buceta
302,72,buceta
309,72,buceta
309,75,buceta
307,78,buceta
340,78,buceta
383,78,buceta
415,79,buceta
477,79,buceta
505,79,buceta
512,77,buceta
528,77,buceta
543,78,buceta
551,79,buceta
596,79,buceta
611,79,buceta
615,80,buceta
687,80,buceta
697,80,buceta
706,78,buceta
712,76,buceta
721,74,buceta
728,72,buceta
738,69,buceta
745,67,buceta
753,64,buceta
760,62,buceta
766,60,buceta
772,57,buceta
780,53,buceta
785,50,buceta
790,46,buceta
802,36,buceta
814,27,buceta
826,18,buceta
836,10,buceta
843,5,buceta
845,4,buceta
892,4,buceta
895,16,buceta
897,25,buceta
899,35,buceta
901,45,buceta
903,53,buceta
906,68,buceta
909,81,buceta
910,85,buceta
927,85,buceta
943,86,buceta
968,87,buceta
976,87,buceta
978,89,buceta
978,91,buceta
973,92,buceta
960,95,buceta
948,98,buceta
932,101,buceta
922,103,buceta
904,106,buceta
898,107,buceta
898,111,buceta
893,112,buceta
888,112,buceta
888,109,buceta
878,110,buceta
867,112,buceta
858,114,buceta
845,116,buceta
831,118,buceta
815,120,buceta
807,121,buceta
799,122,buceta
790,123,buceta
782,124,buceta
770,124,buceta
770,125,buceta
774,125,buceta
774,128,buceta
770,130,buceta
770,137,buceta
774,141,buceta
766,146,buceta
762,147,buceta
761,146,buceta
750,146,buceta
746,147,buceta
742,149,buceta
736,149,buceta
734,147,buceta
728,148,buceta
707,148,buceta
705,149,buceta
679,149,buceta
675,148,buceta
652,148,buceta
644,147,buceta
632,146,buceta
623,145,buceta
615,145,buceta
604,144,buceta
597,144,buceta
591,138,buceta
580,130,buceta
567,129,buceta
546,129,buceta
502,129,buceta
476,129,buceta
450,128,buceta
439,128,buceta
442,133,buceta
443,135,buceta
436,135,buceta
427,129,buceta
398,129,buceta
365,128,buceta
346,128,buceta
314,128,buceta
278,127,buceta
232,126,buceta
196,125,buceta
164,124,buceta
153,123,buceta
149,123,buceta
141,125,buceta
131,127,buceta
122,129,buceta
113,131,buceta
102,133,buceta
92,135,buceta
84,137,buceta
79,138,buceta
74,139,buceta
69,140,buceta
65,141,buceta
59,143,buceta
54,144,buceta
