X,Y,Annotation
47,-170,buceta
57,-170,buceta
80,-165,buceta
93,-163,buceta
105,-160,buceta
117,-157,buceta
128,-156,buceta
130,-155,buceta
139,-152,buceta
147,-148,buceta
153,-146,buceta
159,-145,buceta
169,-143,buceta
177,-141,buceta
187,-141,buceta
196,-140,buceta
208,-139,buceta
220,-138,buceta
231,-136,buceta
250,-136,buceta
263,-135,buceta
275,-135,buceta
286,-135,buceta
293,-135,buceta
297,-132,buceta
302,-129,buceta
308,-129,buceta
306,-134,buceta
328,-134,buceta
358,-134,buceta
411,-134,buceta
500,-134,buceta
511,-133,buceta
606,-133,buceta
610,-135,buceta
644,-135,buceta
695,-136,buceta
719,-130,buceta
731,-126,buceta
750,-121,buceta
764,-116,buceta
769,-114,buceta
779,-109,buceta
786,-104,buceta
793,-98,buceta
801,-93,buceta
808,-87,buceta
820,-78,buceta
828,-72,buceta
836,-66,buceta
841,-62,buceta
844,-59,buceta
893,-59,buceta
895,-71,buceta
898,-83,buceta
900,-95,buceta
902,-104,buceta
905,-117,buceta
907,-127,buceta
909,-136,buceta
910,-140,buceta
935,-140,buceta
965,-141,buceta
977,-142,buceta
978,-146,buceta
974,-147,buceta
967,-149,buceta
959,-151,buceta
952,-152,buceta
943,-154,buceta
924,-158,buceta
891,-164,buceta
867,-168,buceta
848,-171,buceta
825,-175,buceta
802,-177,buceta
792,-178,buceta
783,-179,buceta
774,-181,buceta
770,-186,buceta
770,-192,buceta
774,-196,buceta
766,-202,buceta
762,-201,buceta
750,-201,buceta
743,-203,buceta
735,-204,buceta
733,-203,buceta
707,-203,buceta
705,-205,buceta
679,-205,buceta
677,-203,buceta
656,-203,buceta
639,-202,buceta
618,-200,buceta
595,-200,buceta
579,-185,buceta
510,-185,buceta
466,-184,buceta
439,-184,buceta
443,-190,buceta
436,-190,buceta
427,-184,buceta
367,-184,buceta
320,-183,buceta
280,-183,buceta
245,-182,buceta
219,-181,buceta
193,-181,buceta
171,-180,buceta
153,-180,buceta
140,-178,buceta
127,-177,buceta
111,-176,buceta
100,-175,buceta
84,-174,buceta
71,-173,buceta
61,-173,buceta
54,-173,buceta
52,-172,buceta
46,-172,buceta
46,-171,buceta
