angle,j,fl,fd
-60,2498988345.5627604,260549.19364730048,-1064799.3815119604
-50,2459779112.362236,286003.0808975178,-964135.2087477378
-40,2402458932.524001,279638.6705440621,-862639.4146711846
-30,2367584837.6706104,236750.18588219845,-766995.3629317068
-20,2357729210.1120296,168460.02534390363,-690930.0150891192
-10,2305329558.128961,83316.97313861773,-643516.6837580365
0,2319768436.745597,-13145.581733773139,-628827.0572831905
10,2297138883.729514,-106055.32399427835,-651781.0658139321
20,2348615448.975123,-188641.9859104403,-706237.5032118584
30,2374777338.143094,-250467.76610480115,-783773.0522864087
40,2424640760.1060038,-285045.83794914547,-882163.3613777973
60,2513107200.978727,-250716.29400367918,-1082044.5026747147





