,angle,j,fl,fd
0,-90,3141535.1404460734,63.2764976631726,9680.170994234735
1,-85,3121201.5078767776,455.42300882379016,9588.904567042364
2,-80,3081215.6855412633,827.5446584557336,9395.199539364658
3,-75,3022126.046694082,1158.0964301676315,9117.552453432318
4,-70,2947446.3739915574,1435.0434866960113,8710.703355793758
5,-65,2861207.732233748,1662.4474265456329,8283.318762687206
6,-60,2767271.1973067364,1815.3422233999113,7790.670300433531
7,-55,2667571.648946121,1911.1290512877881,7299.481474367099
8,-50,2566700.1547285425,1946.0112622020733,6801.083064874614
9,-45,2469353.675963312,1923.3275926847514,6337.97635245003
10,-40,2375485.3642087323,1823.740710772574,5849.798604632763
11,-35,2288889.7717346847,1684.8271685672667,5424.146763442686
12,-30,2211163.645211037,1514.7634922866464,5056.887790166951
13,-25,2144810.437267545,1305.198796487523,4730.6205358888155
14,-20,2089563.9430082939,1072.8639536716973,4471.8033105801605
15,-15,2045663.4126617936,818.5118314147232,4274.243300379378
16,-10,2016075.266974734,542.7501390689655,4128.220897440742
17,-5,1995873.9881155898,266.5520000268679,4055.913010543854
18,0,1992650.2671279681,-7.176005696572638,4038.659136391643
19,5,2002475.844309161,-278.98814994999543,4085.0371038231783
20,10,2022605.5962954452,-541.3789446501734,4194.703948460979
21,15,2055119.322564885,-788.3824451706663,4365.217287682837
22,20,2094960.311928189,-1007.6712229408073,4582.346179081992
23,25,2151242.808875846,-1195.3240823402784,4858.01937625131
24,30,2212970.485832675,-1358.3061753096292,5174.328516173969
25,35,2282424.1617436768,-1483.209629954056,5531.0589282391375
26,40,2355767.356290209,-1543.940801204597,5912.54400638692
27,45,2433438.9912347277,-1565.3288503338858,6323.8858419869
28,50,2511241.32101545,-1526.2102711574694,6739.388221432983
29,55,2588545.7469508694,-1437.8645494293628,7151.682413079358
30,60,2660719.5981643163,-1270.978029315588,7541.920283085796
31,65,2727313.478323918,-1062.8223151300858,7886.665414569466
32,70,2785143.9237799607,-787.378603952141,8183.899444049067
33,75,2832078.9965589633,-486.02569096296565,8449.281297458072
34,80,2866057.7356167478,-148.17418997044575,8628.975656646286
35,85,2887530.5498141884,210.89277248846503,8779.762808704889
