,angle,j,fl,fd
0,-90,3170348.838138495,185.00121552371198,9813.945257399804
1,-85,3145592.6025379845,575.2154693647216,9704.883709962276
2,-80,3100000.6074769143,933.4362648967325,9459.733339607521
3,-75,3036148.2345392373,1270.125048434823,9167.012085506092
4,-70,2957005.585045231,1534.819127854642,8759.380560032592
5,-65,2866131.3833989543,1751.4502509389895,8286.827693991188
6,-60,2767398.0354529927,1901.6733627703097,7811.609819613123
7,-55,2665628.9681520485,1993.2433156407926,7306.031041893348
8,-50,2558589.0735588847,2002.3235630558156,6792.696926376398
9,-45,2461946.071343537,1957.533767425607,6296.6339324355195
10,-40,2367122.548223078,1850.233757132515,5822.159694918298
11,-35,2280198.8574408796,1713.7378869528727,5416.851632865453
12,-30,2203054.2132651447,1516.4035631131485,5029.567149306717
13,-25,2137115.1229759273,1293.2850062183086,4721.207919543408
14,-20,2082866.9071156674,1047.3193216454406,4463.128317781514
15,-15,2042154.4044418666,781.3547552689071,4268.7167051944925
16,-10,2013134.1416173563,507.49175028042055,4136.258341703642
17,-5,1997726.1558242782,220.51708881966508,4079.0938709075263
18,0,1996424.6722744107,-59.41947402595227,4072.1139799428274
19,5,2008282.6266505604,-329.98681162385293,4134.642253449432
20,10,2031922.3243737482,-599.5827589778356,4256.815975396081
21,15,2068055.4289900684,-847.5061190753906,4437.441688024189
22,20,2115376.661332032,-1063.8220342294564,4680.407530835947
23,25,2172768.433018234,-1251.3770238831933,4962.307238495955
24,30,2238461.0819229893,-1410.3218642380305,5308.506557155277
25,35,2312244.9874447566,-1523.2441426518697,5684.830054714011
26,40,2390769.891963777,-1582.8800664561613,6094.248156327687
27,45,2472728.5931678936,-1587.7952687382574,6500.115857187374
28,50,2556326.6282435614,-1541.5210354184278,6944.987334879105
29,55,2638152.0652272184,-1443.353478293699,7347.526586837372
30,60,2714418.1627160353,-1274.7003821107608,7760.82005067107
31,65,2786519.12470261,-1055.479697810281,8128.815719274014
32,70,2847484.3695570175,-780.0320868383378,8467.70831136174
33,75,2896808.3601697693,-469.92285997873967,8742.462404468475
34,80,2932995.984471026,-107.72713921367698,8922.583600358905
35,85,2952721.5900823036,244.67831971409746,9006.391392884769
