,t,j,fl,fd
0,0.1,8512724.808214344,-7250555.770810094,10877171.371147921
1,0.2,53127286.24665777,-13782140.655118603,20601728.896761175
2,0.30000000000000004,158646383.96105596,-20226256.50976042,30060408.365631595
3,0.4,323457377.91753256,-26673164.070957758,39501527.10668576
4,0.5,549099058.6150407,-33129028.92551301,48943030.20530909
5,0.6,836369224.255814,-39591693.2755125,58385783.90379338
6,0.7,1185802581.5490673,-46059183.42888872,67829509.88545044
7,0.7999999999999999,1597786502.1519473,-52530180.08380604,77273960.98462704
8,0.8999999999999999,2072601585.6892104,-59003805.69553531,86718967.0081512
9,0.9999999999999999,2610448399.3539968,-65479456.82660373,96164409.42391752
10,1.0999999999999999,3188752034.32723,-66565267.18393078,97522051.88144705
11,1.2,3273109202.80877,-66804553.97820337,97663164.1334302
12,1.3,3304185179.1484747,-66892541.17856481,97690215.56730093
13,1.4000000000000001,3324463416.1041355,-66940251.581966385,97701217.50825459
14,1.5000000000000002,3339641954.9606714,-66971471.53258119,97707936.1695137
15,1.6000000000000003,3351342023.290698,-66993827.50980807,97712727.37743862
16,1.7000000000000004,3360440631.5925555,-67010680.09235492,97716388.12780729
17,1.8000000000000005,3367547539.8165574,-67023820.68844557,97719294.90257964
18,1.9000000000000006,3373118813.2229557,-67034318.69718488,97721660.99805689
19,2.0000000000000004,3377502867.510098,-67042861.582397394,97723620.96779735
20,2.1000000000000005,3380967487.8335605,-67049915.229403086,97725265.90670663
21,2.2000000000000006,3383718795.256513,-67055808.22500462,97726660.64300178
22,2.3000000000000007,3385915503.9380984,-67060779.74348817,97727853.04929858
23,2.400000000000001,3387679871.856528,-67065008.40343579,97728879.4941195
24,2.500000000000001,3389106148.625214,-67068630.47937544,97729768.2312051
25,2.600000000000001,3390267084.581443,-67071751.83417715,97730541.60969537
26,2.700000000000001,3391218933.5822453,-67074455.98566575,97731217.57235724
27,2.800000000000001,3392005289.3300915,-67076809.707280844,97731810.70421305
28,2.9000000000000012,3392660022.4655247,-67078867.00764235,97732332.98636766
29,3.0000000000000013,3393209527.22847,-67080672.01623444,97732794.35030968
30,3.1000000000000014,3393674439.636896,-67082261.11387619,97733203.09340243
31,3.2000000000000015,3394070951.9809957,-67083664.531090945,97733566.19558704
32,3.3000000000000016,3394411819.330736,-67084907.56471199,97733889.56426823
33,3.4000000000000017,3394707131.186591,-67086011.515984744,97734178.2261322
34,3.5000000000000018,3394964904.0110064,-67086994.42257383,97734436.47908688
35,3.600000000000002,3395191537.072378,-67087871.635873005,97734668.01384017
36,3.700000000000002,3395392163.876598,-67088656.28074755,97734876.01208273
37,3.800000000000002,3395570923.740239,-67089359.62502756,97735063.22642021
38,3.900000000000002,3395731172.1814895,-67089991.37877647,97735232.04594146
39,4.000000000000002,3395875644.3600354,-67090559.938608386,97735384.55037203
40,4.100000000000001,3396006582.4119573,-67091072.58841308,97735522.55506735
41,4.200000000000001,3396125834.958355,-67091535.66538205,97735647.64862071
42,4.300000000000001,3396234935.1215806,-67091954.698049895,97735761.22444911
43,4.4,3396335161.898103,-67092334.521730326,97735864.50745256
44,4.5,3396427588.608682,-67092679.37547295,97735958.57660896
45,4.6,3396513121.2901044,-67092992.9838993,97736044.38420898
46,4.699999999999999,3396592529.2318354,-67093278.6265051,97736122.77227226
47,4.799999999999999,3396666469.36287,-67093539.196642786,97736194.48662786
48,4.899999999999999,3396735505.8069263,-67093777.25180954,97736260.18900408
49,4.999999999999998,3396800125.6303015,-67093995.056747794,97736320.46746683
50,5.099999999999998,3396860751.5785847,-67094194.62042893,97736375.84542182
51,5.1999999999999975,3396917752.4248476,-67094377.72790749,97736426.78943203
52,5.299999999999997,3396971451.415765,-67094545.96783108,97736473.71599324
53,5.399999999999997,3397022133.1959887,-67094700.75624614,97736516.99743763
54,5.4999999999999964,3397070049.5131383,-67094843.35724936,97736556.96707524
55,5.599999999999996,3397115423.94066,-67094974.900930494,97736593.9236939
56,5.699999999999996,3397158455.8045692,-67095096.3990202,97736628.13548842
57,5.799999999999995,3397199323.466253,-67095208.75854738,97736659.84350899
58,5.899999999999995,3397238187.0778403,-67095312.79376564,97736689.26468974
59,5.999999999999995,3397275190.90803,-67095409.23661121,97736716.59450668
60,6.099999999999994,3397310465.3113728,-67095498.74588818,97736742.00932689
61,6.199999999999994,3397344128.407393,-67095581.91531461,97736765.6684668
62,6.299999999999994,3397376287.515487,-67095659.280635074,97736787.71602489
63,6.399999999999993,3397407040.3871694,-67095731.325869635,97736808.28249246
