,t,j,fl,fd
0,0.1,51605034.55381049,13319834.458807886,45339717.57156906
1,0.2,206274244.57620737,25428345.33975073,86447922.39926714
2,0.30000000000000004,518169988.96969646,37372339.800388396,126868582.54490271
3,0.4,988515475.4258837,49319282.85192198,167279673.0381808
4,0.5,1621011919.6548722,61281707.447651096,207731256.2766947
5,0.6,2417783629.8630447,73256163.94178477,248215180.870576
6,0.7,3380285033.419021,85239346.4966129,288722573.1287035
7,0.7999999999999999,4509606982.492469,97229042.2313282,329247453.86458707
8,0.8999999999999999,5806591987.233905,109223777.123537,369785850.74032974
9,0.9999999999999999,7271898862.209428,121222532.14996634,410335027.1419053
10,1.0999999999999999,8435653283.74622,123320085.00475407,417178882.2942528
11,1.2,8719177322.221989,123781491.32902437,418531940.59560364
12,1.3,8836227244.374868,123947337.90705204,418992744.85335344
13,1.4000000000000001,8905187128.591555,124036617.57122663,419235678.2946349
14,1.5000000000000002,8953414240.017767,124095988.1131165,419395967.4736017
15,1.6000000000000003,8990009829.7546,124139835.7855503,419513967.33572006
16,1.7000000000000004,9018988124.9319,124174189.6565456,419606308.90851754
17,1.8000000000000005,9042523407.717,124202142.27801965,419681438.40973645
18,1.9000000000000006,9061973552.213663,124225498.90138707,419744251.06222016
19,2.0000000000000004,9078267341.201696,124245408.42004082,419797844.6804755
20,2.1000000000000005,9092075875.323814,124262647.63832793,419844304.29559827
21,2.2000000000000006,9103900245.304844,124277765.58399372,419885098.3014059
22,2.3000000000000007,9114122370.232983,124291163.66247658,419921297.3794259
23,2.400000000000001,9123037455.532074,124303143.35121663,419953704.1372228
24,2.500000000000001,9130876131.942041,124313936.13688654,419982934.1035992
25,2.600000000000001,9137820209.856285,124323723.11453135,420009468.5225164
26,2.700000000000001,9144014192.341612,124332648.26000036,420033689.961151
27,2.800000000000001,9149573833.099201,124340827.67090444,420055907.0127104
28,2.9000000000000012,9154592571.4769,124348356.152123,420076371.8449794
29,3.0000000000000013,9159146412.205158,124355312.00307015,420095292.92286384
30,3.1000000000000014,9163297650.87614,124361760.55840376,420112844.3970747
31,3.2000000000000015,9167097735.031778,124367756.84688568,420129173.14211816
32,3.3000000000000016,9170589473.467976,124373347.61542149,420144404.1067351
33,3.4000000000000017,9173808751.321442,124378572.88883175,420158644.4333074
34,3.5000000000000018,9176785868.543642,124383467.1854175,420171986.66632515
35,3.600000000000002,9179546590.0358,124388060.47407453,420184511.2781342
36,3.700000000000002,9182112974.042736,124392378.93512213,420196288.67667973
37,3.800000000000002,9184504029.242733,124396445.57048729,420207380.8162923
38,3.900000000000002,9186736238.888443,124400280.69718473,420217842.5008165
39,4.000000000000002,9188823981.29632,124403902.34946135,420227722.4464177
40,4.100000000000001,9190779869.133928,124407326.60899284,420237064.1547888
41,4.200000000000001,9192615024.780449,124410567.8778251,420245906.63563377
42,4.300000000000001,9194339305.116074,124413639.10549082,420254285.0083929
43,4.4,9195961486.093538,124416551.9791237,420262231.006511
44,4.5,9197489415.175617,124419317.08355728,420269773.4025082
45,4.6,9198930137.942215,124421944.036853,420276938.36824936
46,4.699999999999999,9200290003.844805,124424441.60563847,420283749.7818984
47,4.799999999999999,9201574755.027891,124426817.80372508,420290229.49071956
48,4.899999999999999,9202789601.329002,124429079.97682253,420296397.5370743
49,4.999999999999998,9203939283.938545,124431234.87564762,420302272.3537254
50,5.099999999999998,9205028129.708523,124433288.71922393,420307870.9331586
51,5.1999999999999975,9206060097.709543,124435247.24994937,420313208.9750876
52,5.299999999999997,9207038819.327656,124437115.78166063,420318301.0153513
53,5.399999999999997,9207967632.95299,124438899.24172215,420323160.53894067
