angle,j,fl,fd
-60,99959533.82251088,52109.8387294602,-212959.87630239176
-50,98391164.49448937,57200.61617950371,-192827.0417495477
-40,96098357.30096027,55927.73410881229,-172527.88293423702
-30,94703393.50682485,47350.03717643998,-153399.0725863413
-20,94309168.40448132,33692.00506878061,-138186.00301782397
-10,92213182.32515837,16663.394627723515,-128703.33675160738
0,92790737.46982382,-2629.1163467546326,-125765.41145663825
10,91885555.3491805,-21211.064798855747,-130356.21316278653
20,93944617.95900476,-37728.39718208813,-141247.5006423717
30,94991093.52572368,-50093.5532209596,-156754.6104572817
40,96985630.40423979,-57009.16758982923,-176432.67227555954
50,98990370.02901667,-56893.77069362309,-197127.35713485815
